Instance_ID	Group_ID
ANI152	Bulgaria_Varna_C
ANI160	Bulgaria_Varna_C
ANI159-ANI181	Bulgaria_Varna_C
ALX002	Caucasus_lowlands_LC
MTT001	Caucasus_lowlands_LN
POT002	Caucasus_lowlands_LN
I3313	Croatia_EIA
I5071	Croatia_EN_Impressa
I5072	Croatia_EN_Impressa
I4167	Croatia_EN_Starcevo
I3499	Croatia_LateC_EBA_Vucedol
I4175	Croatia_LateC_EBA_Vucedol
I5079	Croatia_LN_Starcevo
I4331	Croatia_MBA
I4332	Croatia_MBA
I1875	Croatia_Mesolithic_HG
I3498	Croatia_MN_Sopot
I4168	Croatia_MN_Sopot
I5077	Croatia_MN_Sopot
I5078	Croatia_MN_Sopot
I3433	Croatia_N_Cardial
I3947	Croatia_N_Cardial
I3948	Croatia_N_Cardial
I2792	Croatia_Vucedol
I7949	Czech_BA
I6677	Czech_Baalberge
I4136	Czech_BellBeaker
I4145	Czech_BellBeaker
I4885	Czech_BellBeaker
I4886	Czech_BellBeaker
I4888	Czech_BellBeaker
I4889	Czech_BellBeaker
I4890	Czech_BellBeaker
I4891	Czech_BellBeaker
I4895	Czech_BellBeaker
I4896	Czech_BellBeaker
I4945	Czech_BellBeaker
I4946	Czech_BellBeaker
I5514	Czech_BellBeaker
I5666	Czech_BellBeaker
I6468	Czech_BellBeaker
I6476	Czech_BellBeaker
I6480	Czech_BellBeaker
I7205	Czech_BellBeaker
I7211	Czech_BellBeaker
I7212	Czech_BellBeaker
I7213	Czech_BellBeaker
I7214	Czech_BellBeaker
I7249	Czech_BellBeaker
I7250	Czech_BellBeaker
I7251	Czech_BellBeaker
I7269	Czech_BellBeaker
I7270	Czech_BellBeaker
I7275	Czech_BellBeaker
I7276	Czech_BellBeaker
I7278	Czech_BellBeaker
I7281	Czech_BellBeaker
I7282	Czech_BellBeaker
I7286	Czech_BellBeaker
I7287	Czech_BellBeaker
I7288	Czech_BellBeaker
I7290	Czech_BellBeaker
I6695	Czech_CordedWare
I6696	Czech_CordedWare
I7207	Czech_CordedWare
I7208	Czech_CordedWare
I7209	Czech_CordedWare
I7279	Czech_CordedWare
I7280	Czech_CordedWare
RISE568.SG	Czech_EarlySlav.SG
I4884	Czech_EBA
I4892	Czech_EBA
I7195	Czech_EBA
I7196	Czech_EBA
I7198	Czech_EBA
I7199	Czech_EBA
I7200	Czech_EBA
I7201	Czech_EBA
I7202	Czech_EBA
I7203	Czech_EBA
I5037	Czech_EBA_Protounetice
I5042	Czech_EBA_Protounetice
I4130	Czech_EBA_Unetice
I5043	Czech_EBA_Unetice
I7272	Czech_Eneolithic
DA111.SG	Czech_HallstattBylany.SG
DA112.SG	Czech_HallstattBylany.SG
kol2BE.SG	Czech_Megalithic.SG
kol6-ALL_DATA.SG	Czech_Megalithic.SG
I7197	Czech_MN
I4893	Czech_N
I4894	Czech_N
Pavlov1_d	Czech_Pavlov1
Vestonice13_d	Czech_Vestonice13
Vestonice15_d	Czech_Vestonice15
Vestonice16	Czech_Vestonice16
Vestonice43_d	Czech_Vestonice43
RISE21.SG	Denmark_BA.SG
RISE47.SG	Denmark_BA.SG
RISE276.SG	Denmark_LBA.SG
RISE42.SG	Denmark_LN.SG
RISE71.SG	Denmark_LN.SG
RISE61.SG	Denmark_MN_B.SG
NEO236.SG	DevilsCave_N.SG
NEO238.SG	DevilsCave_N.SG
NEO239.SG	DevilsCave_N.SG
NEO240.SG	DevilsCave_N.SG
I1767	England_BellBeaker
I1770	England_BellBeaker
I2416	England_BellBeaker
I2417	England_BellBeaker
I2418	England_BellBeaker
I2443	England_BellBeaker
I2445	England_BellBeaker
I2447	England_BellBeaker
I2450	England_BellBeaker
I2452	England_BellBeaker
I2453	England_BellBeaker
I2454	England_BellBeaker
I2455	England_BellBeaker
I2459	England_BellBeaker
I3255	England_BellBeaker
I3256	England_BellBeaker
I4950	England_BellBeaker
I4951	England_BellBeaker
I5376	England_BellBeaker
I5379	England_BellBeaker
I5382	England_BellBeaker
I5512	England_BellBeaker
I5513	England_BellBeaker
I6679	England_BellBeaker
I6774	England_BellBeaker
I6775	England_BellBeaker
I6777	England_BellBeaker
I6778	England_BellBeaker
I2446_published	England_BellBeaker
I2421	England_C_EBA
I2457	England_C_EBA
I2460	England_C_EBA
I2461	England_C_EBA
I2462	England_C_EBA
I2463	England_C_EBA
I2464	England_C_EBA
I2566	England_C_EBA
I2597	England_C_EBA
I2601	England_C_EBA
I2602	England_C_EBA
I2604	England_C_EBA
I2609	England_C_EBA
I2610	England_C_EBA
I2612	England_C_EBA
I2618	England_C_EBA
I5373	England_C_EBA
I5377	England_C_EBA
I5441	England_C_EBA
I6680	England_C_EBA
I7630	England_C_EBA
I7635	England_C_EBA
I7638	England_C_EBA
I7639	England_C_EBA
I2598_published	England_C_EBA
I0789.SG	England_IA.SG
I5383	England_LBA
I0160.SG	England_LIA.SG
M1489.SG	England_LIA.SG
I0156.SG	England_LIA_ERoman.SG
I2458	England_MBA
I2639	England_MBA
I3082	England_MBA
I7568	England_MBA
I7569	England_MBA
I7570	England_MBA
I7571	England_MBA
I7572	England_MBA
I7573	England_MBA
I7574	England_MBA
I7575	England_MBA
I7576	England_MBA
I7577	England_MBA
I7578	England_MBA
I7580	England_MBA
I7626	England_MBA
I7627	England_MBA
I7628	England_MBA
I7640	England_MBA
I6744	England_Mesolithic
I6745	England_Mesolithic
I3025_all.SG	England_Mesolithic_all.SG
I6767_all.SG	England_Mesolithic_all.SG
I0518	England_N
I0519	England_N
