Instance_ID Group_ID
HGDP00423 Burusho
HGDP00338 Burusho
HGDP00356 Burusho
HGDP00371 Burusho
HGDP00412 Burusho
HGDP00428 Burusho
HGDP00433 Burusho
HGDP00438 Burusho
HGDP00444 Burusho
BUR-205 Buryat
BUR-645 Buryat
BUR-158 Buryat
BUR-050 Buryat
BUR-051 Buryat
BUR-074 Buryat
BUR-144 Buryat
BUR-087 Buryat
BUR-124 Buryat
BUR-042 Buryat
BUR-694 Buryat
BUR-047 Buryat
BUR-009 Buryat
BUR-578 Buryat
BUR-707 Buryat
BUR-003 Buryat
BUR-706 Buryat
BUR-008 Buryat
BUR-599 Buryat
BUR-415 Buryat
HGDP00719 Cambodian
HGDP00717 Cambodian
HGDP00716 Cambodian
HGDP00720 Cambodian
HGDP00715 Cambodian
HGDP00713 Cambodian
HGDP00721 Cambodian
HGDP00714 Cambodian
ch31 Chechen
ch126 Chechen
ch193 Chechen
ch21 Chechen
ch3 Chechen
ch113 Chechen
ch174 Chechen
ch179 Chechen
ch16 Chechen
HGDP01323 China_Lahu
HGDP01317 China_Lahu
HGDP01318 China_Lahu
HGDP01319 China_Lahu
HGDP01322 China_Lahu
HGDP01326 China_Lahu
HGDP01320 China_Lahu
HGDP01321 China_Lahu
Chuvash25 Chuvash
Ttr-569 Chuvash
Chuvash33 Chuvash
Ttr-474 Chuvash
Chuvash31 Chuvash
Chuvash22 Chuvash
Chuvash13 Chuvash
Chuvash24 Chuvash
Ttr-507 Chuvash
Ttr-568 Chuvash
Chuvash37 Chuvash
Ttr-481 Chuvash
Chuvash26 Chuvash
Chuvash20 Chuvash
Ttr-473 Chuvash
Chuvash29 Chuvash
CHRK-544 Circassian
KCHE-1436 Circassian
KCHE-1491 Circassian
KCHE-1444 Circassian
KCHE-1527 Circassian
KCHE-1530 Circassian
KCHE-1337 Circassian
KCHE-1526 Circassian
KCHE-1497 Circassian
HGDP01310 Dai
HGDP01311 Dai
HGDP01307 Dai
HGDP01308 Dai
HGDP01312 Dai
HGDP01313 Dai
HGDP01315 Dai
HGDP01316 Dai
HGDP01314 Dai
HGDP01309 Dai
DAG-146 Darginian
DAG-350 Darginian
DAG-165 Darginian
DAG-225 Darginian
DAG-231 Darginian
DAG-232 Darginian
DAG-206 Darginian
DAG-161 Darginian
HGDP01216 Daur
HGDP01215 Daur
HGDP01220 Daur
HGDP01222 Daur
HGDP01218 Daur
HGDP01213 Daur
HGDP01214 Daur
HGDP01221 Daur
HGDP01217 Daur
HGDP00571 Druze
HGDP00573 Druze
HGDP00599 Druze
HGDP00564 Druze
HGDP00582 Druze
HGDP00574 Druze
HGDP00565 Druze
HGDP00569 Druze
HGDP00597 Druze
HGDP00578 Druze
HGDP00604 Druze
HGDP00575 Druze
HGDP00559 Druze
HGDP00580 Druze
HGDP00562 Druze
HGDP00572 Druze
HGDP00583 Druze
HGDP00558 Druze
HGDP00560 Druze
HGDP00591 Druze
AMU-686 Evenk_FarEast
AMU-554 Evenk_FarEast
AMU-139 Evenk_FarEast
AMU-049 Evenk_FarEast
AMU-672 Evenk_FarEast
EV-052 Evenk_Transbaikal
EV-023 Evenk_Transbaikal
EV-050 Evenk_Transbaikal
EV-110 Evenk_Transbaikal
EV-040 Evenk_Transbaikal
EV-147 Evenk_Transbaikal
EV-004 Evenk_Transbaikal
EV-082 Evenk_Transbaikal
EZI-020 Ezid
EZI-029 Ezid
EZI-060 Ezid
EZI-013 Ezid
EZI-012 Ezid
EZI-074 Ezid
EZI-010 Ezid
EZI-001 Ezid
SouthFrench3068 French
HGDP00535 French
HGDP00536 French
HGDP00534 French
HGDP00529 French
French24437 French
HGDP00513 French
French24090 French
HGDP00531 French
French24247 French
French23812 French
French23814 French
SouthFrench3947 French
HGDP00538 French
SouthFrench1323 French
HGDP00523 French
HGDP00522 French
French24124 French
HGDP00514 French
HGDP00525 French
mg22 Georgian
mg49 Georgian
GEO-005 Georgian
GEO-010 Georgian
GEO-015 Georgian
GEO-028 Georgian
GEO001 Georgian
GEO-020 Georgian
GEO-002 Georgian
mg40 Georgian
mg23 Georgian
mg43 Georgian
GEO-061 Georgian
mg47 Georgian
GEO-051 Georgian
GEO-031 Georgian
mg27 Georgian
GEO-032 Georgian
mg62 Georgian
GEO-082 Georgian
HGDP00783 Han
HGDP00784 Han
HGDP00822 Han
HGDP01288 Han
HGDP00818 Han
