K	rep	CV
K=07	rep15	0.51288
K=07	rep16	0.51288
K=07	rep17	0.51289
K=07	rep18	0.51288
K=07	rep19	0.51289
K=07	rep20	0.51288
K=08	rep01	0.51290
K=08	rep02	0.51283
K=08	rep03	0.51276
K=08	rep04	0.51276
K=08	rep05	0.51283
K=08	rep06	0.51283
K=08	rep07	0.51288
K=08	rep08	0.51283
K=08	rep09	0.51284
K=08	rep10	0.51284
K=08	rep11	0.51288
K=08	rep12	0.51276
K=08	rep13	0.51277
K=08	rep14	0.51277
K=08	rep15	0.51289
K=08	rep16	0.51276
K=08	rep17	0.51288
K=08	rep18	0.51277
K=08	rep19	0.51288
K=08	rep20	0.51283
K=09	rep01	0.51289
K=09	rep02	0.51279
K=09	rep03	0.51288
K=09	rep04	0.51264
K=09	rep05	0.51274
K=09	rep06	0.51290
K=09	rep07	0.51277
K=09	rep08	0.51289
K=09	rep09	0.51279
K=09	rep10	0.51289
K=09	rep11	0.51288
K=09	rep12	0.51288
K=09	rep13	0.51279
K=09	rep14	0.51278
K=09	rep15	0.51277
K=09	rep16	0.51335
K=09	rep17	0.51278
K=09	rep18	0.51288
K=09	rep19	0.51335
K=09	rep20	0.51289
